	sample_name	age	condition	organ system
33	pylorus (adult)	adult	pylorus (adult)	gastrointestinal tract
34	duodenum (lamb/newborn)	lamb/newborn	duodenum (lamb/newborn)	gastrointestinal tract
35	duodenum (lamb/1 week)	lamb/1 week	duodenum (lamb/1 week)	gastrointestinal tract
36	duodenum (lamb/8 weeks)	lamb/8 weeks	duodenum (lamb/8 weeks)	gastrointestinal tract
37	duodenum (adult)	adult	duodenum (adult)	gastrointestinal tract
38	jejunum (lamb/newborn)	lamb/newborn	jejunum (lamb/newborn)	gastrointestinal tract
39	jejunum (lamb/1 week)	lamb/1 week	jejunum (lamb/1 week)	gastrointestinal tract
40	jejunum (lamb/8 weeks)	lamb/8 weeks	jejunum (lamb/8 weeks)	gastrointestinal tract
41	jejunum (adult)	adult	jejunum (adult)	gastrointestinal tract
42	ileum (lamb/newborn)	lamb/newborn	ileum (lamb/newborn)	gastrointestinal tract
43	ileum (lamb/1 week)	lamb/1 week	ileum (lamb/1 week)	gastrointestinal tract
44	ileum (lamb/8 weeks)	lamb/8 weeks	ileum (lamb/8 weeks)	gastrointestinal tract
45	ileum (adult)	adult	ileum (adult)	gastrointestinal tract
46	peyers patch (lamb/newborn)	lamb/newborn	peyers patch (lamb/newborn)	gastrointestinal tract
47	peyers patch (lamb/1 week)	lamb/1 week	peyers patch (lamb/1 week)	gastrointestinal tract
48	peyers patch (lamb/8 weeks)	lamb/8 weeks	peyers patch (lamb/8 weeks)	gastrointestinal tract
49	peyers patch (adult)	adult	peyers patch (adult)	gastrointestinal tract
50	caecum (lamb/newborn)	lamb/newborn	caecum (lamb/newborn)	gastrointestinal tract
51	caecum (lamb/1 week)	lamb/1 week	caecum (lamb/1 week)	gastrointestinal tract
52	caecum (lamb/8 weeks)	lamb/8 weeks	caecum (lamb/8 weeks)	gastrointestinal tract
53	caecum (adult)	adult	caecum (adult)	gastrointestinal tract
54	colon spiral (lamb/newborn)	lamb/newborn	colon spiral (lamb/newborn)	gastrointestinal tract
55	colon spiral (lamb/1 week)	lamb/1 week	colon spiral (lamb/1 week)	gastrointestinal tract
56	colon spiral (lamb/8 weeks)	lamb/8 weeks	colon spiral (lamb/8 weeks)	gastrointestinal tract
57	colon spiral (adult)	adult	colon spiral (adult)	gastrointestinal tract
58	colon distal (adult)	adult	colon distal (adult)	gastrointestinal tract
59	colon large (lamb/newborn)	lamb/newborn	colon large (lamb/newborn)	gastrointestinal tract
60	colon large (lamb/1 week)	lamb/1 week	colon large (lamb/1 week)	gastrointestinal tract
61	colon large (lamb/8 weeks)	lamb/8 weeks	colon large (lamb/8 weeks)	gastrointestinal tract
62	rectum (adult)	adult	rectum (adult)	gastrointestinal tract
63	kidney cortex (adult)	adult	kidney cortex (adult)	renal system
64	kidney medulla (adult)	adult	kidney medulla (adult)	renal system
65	adrenal gland cortex (adult)	adult	adrenal gland cortex (adult)	endocrine glands
66	adrenal gland medulla (adult)	adult	adrenal gland medulla (adult)	endocrine glands
67	liver (adult)	adult	liver (adult)	endocrine glands
68	pituitary gland (adult)	adult	pituitary gland (adult)	endocrine glands
69	salivary gland (adult)	adult	salivary gland (adult)	endocrine glands
70	thyroid (adult)	adult	thyroid (adult)	endocrine glands
71	tonsil (adult)	adult	tonsil (adult)	immune system
72	thymus (adult)	adult	thymus (adult)	immune system
73	spleen (adult)	adult	spleen (adult)	immune system
74	submandibular lymph node (adult)	adult	submandibular lymph node (adult)	immune system
75	prescap lymph node (adult)	adult	prescap lymph node (adult)	immune system
76	mesenteric lymph node (adult)	adult	mesenteric lymph node (adult)	immune system
77	popliteal lymph node (adult)	adult	popliteal lymph node (adult)	immune system
78	haemolymph (adult)	adult	haemolymph (adult)	immune system
79	blood leukocytes (adult)	adult	blood leukocytes (adult)	immune system
80	alveolar macrophage (adult)	adult	alveolar macrophage (adult)	immune system
81	PBMC (adult)	adult	PBMC (adult)	immune system
82	MDM (adult)	adult	MDM (adult)	immune system
83	macrophage LPS time course 0 hrs (adult)	adult	macrophage LPS time course 0 hrs (adult)	immune system
84	macrophage LPS time course 2 hrs (adult)	adult	macrophage LPS time course 2 hrs (adult)	immune system
85	macrophage LPS time course 4 hrs (adult)	adult	macrophage LPS time course 4 hrs (adult)	immune system
86	macrophage LPS time course 7 hrs (adult)	adult	macrophage LPS time course 7 hrs (adult)	immune system
87	macrophage LPS time course 24 hrs (adult)	adult	macrophage LPS time course 24 hrs (adult)	immune system
88	epididymis (adult)	adult	epididymis (adult)	male reproductive system
89	vas deferens (adult)	adult	vas deferens (adult)	male reproductive system
90	testes (adult)	adult	testes (adult)	male reproductive system
91	ovary (adult)	adult	ovary (adult)	female reproductive system
92	fallopian tube (adult)	adult	fallopian tube (adult)	female reproductive system
93	mammary gland (adult)	adult	mammary gland (adult)	female reproductive system
94	caruncle (adult)	adult	caruncle (adult)	female reproductive system
95	intercaruncular tissue (adult)	adult	intercaruncular tissue (adult)	female reproductive system
96	blastocyst	blastocyst	blastocyst	blastocyst
97	embryo/23 days	embryo/23 days	embryo/23 days	whole body
